Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link or Note
AAR2,AAR2 Splicing Factor,Protein Coding,Q9Y312,45,GC20P036236,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAR2
ACIN1,Apoptotic Chromatin Condensation Inducer 1,Protein Coding,Q9UKV3,45,GC14M023058,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACIN1
AFF2,ALF Transcription Elongation Factor 2,Protein Coding,P51816,51,GC0XP148500,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF2
AHNAK,AHNAK Nucleoprotein,Protein Coding,Q09666,45,GC11M125227,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHNAK
AHNAK2,AHNAK Nucleoprotein 2,Protein Coding,Q8IVF2,38,GC14M104937,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHNAK2
AKAP17A,A-Kinase Anchoring Protein 17A,Protein Coding,Q02040,37,GC0XP001591,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP17A
AKAP8L,A-Kinase Anchoring Protein 8 Like,Protein Coding,Q9ULX6,43,GC19M015380,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP8L
ALYREF,Aly/REF Export Factor,Protein Coding,Q86V81,47,GC17M081887,1.868379593,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALYREF
ANK3,Ankyrin 3,Protein Coding,Q12955,51,GC10M060026,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANK3
APLP2,Amyloid Beta Precursor Like Protein 2,Protein Coding,Q06481,51,GC11P130069,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLP2
AQR,Aquarius Intron-Binding Spliceosomal Factor,Protein Coding,O60306,43,GC15M034851,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQR
ARB2A,ARB2 Cotranscriptional Regulator A,Protein Coding,Q8WUF8,43,GC05M093617,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARB2A
ARL6IP4,ADP Ribosylation Factor Like GTPase 6 Interacting Protein 4,Protein Coding,Q66PJ3,37,GC12P122980,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6IP4
ARMC7,Armadillo Repeat Containing 7,Protein Coding,Q9H6L4,37,GC17P075109,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARMC7
ARVCF,ARVCF Delta Catenin Family Member,Protein Coding,O00192,46,GC22M019974,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARVCF
ATP2B1,ATPase Plasma Membrane Ca2+ Transporting 1,Protein Coding,P20020,51,GC12M089588,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B1
ATXN7,Ataxin 7,Protein Coding,O15265,51,GC03P063880,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7
ATXN7L3,Ataxin 7 Like 3,Protein Coding,Q14CW9,40,GC17M044191,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN7L3
BCAS2,BCAS2 Pre-MRNA Processing Factor,Protein Coding,O75934,46,GC01M114567,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAS2
BCLAF1,BCL2 Associated Transcription Factor 1,Protein Coding,Q9NYF8,47,GC06M136256,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCLAF1
BRDT,Bromodomain Testis Associated,Protein Coding,Q58F21,53,GC01P091949,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRDT
BUD13,BUD13 Homolog,Protein Coding,Q9BRD0,41,GC11M126470,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD13
BUD31,BUD31 Homolog,Protein Coding,P41223,41,GC07P099408,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD31
C1QBP,Complement C1q Binding Protein,Protein Coding,Q07021,53,GC17M005432,0.686679363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP
C2orf49,Chromosome 2 Open Reading Frame 49,Protein Coding,Q9BVC5,37,GC02P105337,0.485555649,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf49
C9orf78,Chromosome 9 Open Reading Frame 78,Protein Coding,Q9NZ63,40,GC09M129827,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf78
CACTIN,"Cactin, Spliceosome C Complex Subunit",Protein Coding,Q8WUQ7,38,GC19M003610,2.223830938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACTIN
CADM1,Cell Adhesion Molecule 1,Protein Coding,Q9BY67,53,GC11M115169,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CADM1
CADM3,Cell Adhesion Molecule 3,Protein Coding,Q8N126,49,GC01P164772,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CADM3
CAMK2G,Calcium/Calmodulin Dependent Protein Kinase II Gamma,Protein Coding,Q13555,58,GC10M073812,1.571356297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G
CASC3,CASC3 Exon Junction Complex Subunit,Protein Coding,O15234,41,GC17P040140,2.069503307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC3
