gene_id	seqnames	start	end	width	strand	isoform_id	gene_name
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000006704	chr7	74535113	74535138	26	+	ENST00000265755.7	GTF2IRD1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000447510.7	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000505450.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1
ENSG00000007062	chr4	15979881	15979904	24	-	ENST00000508167.5	PROM1
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000554990.6	MAP4K5
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000554990.6	MAP4K5
ENSG00000012983	chr14	50438092	50438094	3	-	ENST00000554990.6	MAP4K5
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B
ENSG00000056487	chr22	44889760	44889782	23	-	ENST00000396103.7	PHF21B
ENSG00000056487	chr22	44889760	44889782	23	-	ENST00000396103.7	PHF21B
ENSG00000056487	chr22	44889760	44889782	23	-	ENST00000396103.7	PHF21B
ENSG00000067064	chr10	1048864	1048886	23	-	ENST00000695775.1	IDI1
ENSG00000067064	chr10	1048864	1048886	23	-	ENST00000695775.1	IDI1
ENSG00000067064	chr10	1048864	1048886	23	-	ENST00000695775.1	IDI1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000541377.5	CLASP1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000541377.5	CLASP1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000541377.5	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000541377.5	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000541377.5	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000541377.5	CLASP1
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000178638.8	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000178638.8	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000178638.8	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L
ENSG00000074964	chr1	17634548	17634562	15	+	ENST00000361221.8	ARHGEF10L
ENSG00000075240	chr22	46663838	46663863	26	+	BambuTx309	GRAMD4
ENSG00000075240	chr22	46663838	46663863	26	+	BambuTx309	GRAMD4
ENSG00000075240	chr22	46663838	46663863	26	+	BambuTx309	GRAMD4
ENSG00000075240	chr22	46663838	46663863	26	+	ENST00000361034.7	GRAMD4
ENSG00000075240	chr22	46663838	46663863	26	+	ENST00000361034.7	GRAMD4
ENSG00000075240	chr22	46663838	46663863	26	+	ENST00000361034.7	GRAMD4
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000356264.7	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000356264.7	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000356264.7	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000325590.9	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000356264.7	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000356264.7	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000356264.7	AMPH
ENSG00000087152	chr17	44196396	44196418	23	-	ENST00000587097.6	ATXN7L3
ENSG00000087152	chr17	44196396	44196418	23	-	ENST00000587097.6	ATXN7L3
ENSG00000087152	chr17	44196396	44196418	23	-	ENST00000587097.6	ATXN7L3
ENSG00000088543	chr3	50561722	50561747	26	-	ENST00000357203.8	C3orf18
ENSG00000088543	chr3	50561722	50561747	26	-	ENST00000357203.8	C3orf18
ENSG00000088543	chr3	50561722	50561747	26	-	ENST00000357203.8	C3orf18
ENSG00000089280	chr16	31182398	31182422	25	+	ENST00000254108.12	FUS
ENSG00000089280	chr16	31182398	31182422	25	+	ENST00000254108.12	FUS
ENSG00000089280	chr16	31182398	31182422	25	+	ENST00000254108.12	FUS
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000344013.10	FXYD3
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000344013.10	FXYD3
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000344013.10	FXYD3
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000604404.6	FXYD3
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000604404.6	FXYD3
ENSG00000089356	chr19	35121222	35121245	24	+	ENST00000604404.6	FXYD3
ENSG00000090097	chr3	51961010	51961033	24	-	ENST00000355852.6	PCBP4
ENSG00000090097	chr3	51961010	51961033	24	-	ENST00000355852.6	PCBP4
ENSG00000090097	chr3	51961010	51961033	24	-	ENST00000355852.6	PCBP4
ENSG00000100354	chr22	40251179	40251200	22	+	ENST00000454349.7	TNRC6B
ENSG00000100354	chr22	40251179	40251200	22	+	ENST00000454349.7	TNRC6B
ENSG00000100354	chr22	40251179	40251200	22	+	ENST00000454349.7	TNRC6B
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000281129.7	CEP128
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000281129.7	CEP128
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000281129.7	CEP128
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000555265.6	CEP128
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000555265.6	CEP128
ENSG00000100629	chr14	80559279	80559302	24	-	ENST00000555265.6	CEP128
ENSG00000101474	chr20	24964375	24964398	24	-	ENST00000451442.5	APMAP
ENSG00000101474	chr20	24964375	24964398	24	-	ENST00000451442.5	APMAP
ENSG00000101474	chr20	24964375	24964398	24	-	ENST00000451442.5	APMAP
ENSG00000101654	chr18	13726704	13726729	26	+	ENST00000592764.5	RNMT
ENSG00000101654	chr18	13726704	13726729	26	+	ENST00000592764.5	RNMT
ENSG00000101654	chr18	13726704	13726729	26	+	ENST00000592764.5	RNMT
ENSG00000104177	chr15	48166121	48166128	8	-	ENST00000267836.10	MYEF2
ENSG00000104177	chr15	48166121	48166128	8	-	ENST00000267836.10	MYEF2
ENSG00000104177	chr15	48166121	48166128	8	-	ENST00000267836.10	MYEF2
ENSG00000107736	chr10	71643861	71643866	6	+	ENST00000299366.11	CDH23
ENSG00000107736	chr10	71643861	71643866	6	+	ENST00000299366.11	CDH23
ENSG00000107736	chr10	71643861	71643866	6	+	ENST00000299366.11	CDH23
ENSG00000110066	chr11	68171232	68171251	20	-	ENST00000401547.6	KMT5B
ENSG00000110066	chr11	68171232	68171251	20	-	ENST00000401547.6	KMT5B
ENSG00000110066	chr11	68171232	68171251	20	-	ENST00000401547.6	KMT5B
ENSG00000111237	chr12	110499535	110499546	12	-	ENST00000621131.4	VPS29
ENSG00000111237	chr12	110499535	110499546	12	-	ENST00000621131.4	VPS29
ENSG00000111237	chr12	110499535	110499546	12	-	ENST00000621131.4	VPS29
ENSG00000111913	chr6	24870866	24870889	24	-	ENST00000378023.8	RIPOR2
ENSG00000111913	chr6	24870866	24870889	24	-	ENST00000378023.8	RIPOR2
ENSG00000111913	chr6	24870866	24870889	24	-	ENST00000378023.8	RIPOR2
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3
ENSG00000116584	chr1	155951741	155951748	8	-	ENST00000470541.6	ARHGEF2
ENSG00000116584	chr1	155951741	155951748	8	-	ENST00000470541.6	ARHGEF2
ENSG00000116584	chr1	155951741	155951748	8	-	ENST00000470541.6	ARHGEF2
ENSG00000116641	chr1	62487398	62487412	15	-	ENST00000635253.2	DOCK7
ENSG00000116641	chr1	62487398	62487412	15	-	ENST00000635253.2	DOCK7
ENSG00000116641	chr1	62487398	62487412	15	-	ENST00000635253.2	DOCK7
ENSG00000119681	chr14	74527347	74527366	20	-	ENST00000261978.9	LTBP2
ENSG00000119681	chr14	74527347	74527366	20	-	ENST00000261978.9	LTBP2
ENSG00000119681	chr14	74527347	74527366	20	-	ENST00000261978.9	LTBP2
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000358517.6	PLEKHG1
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000358517.6	PLEKHG1
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000358517.6	PLEKHG1
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000696526.1	PLEKHG1
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000696526.1	PLEKHG1
ENSG00000120278	chr6	150823654	150823676	23	+	ENST00000696526.1	PLEKHG1
ENSG00000126218	chr13	113138457	113138481	25	+	ENST00000375551.7	F10
ENSG00000126218	chr13	113138457	113138481	25	+	ENST00000375551.7	F10
ENSG00000126218	chr13	113138457	113138481	25	+	ENST00000375551.7	F10
ENSG00000127948	chr7	75915155	75915179	25	+	ENST00000461988.6	POR
ENSG00000127948	chr7	75915155	75915179	25	+	ENST00000461988.6	POR
ENSG00000127948	chr7	75915155	75915179	25	+	ENST00000461988.6	POR
ENSG00000130511	chr19	18432200	18432214	15	+	ENST00000593641.3	SSBP4
ENSG00000130511	chr19	18432200	18432214	15	+	ENST00000593641.3	SSBP4
ENSG00000130511	chr19	18432200	18432214	15	+	ENST00000593641.3	SSBP4
ENSG00000131591	chr1	1084481	1084506	26	-	ENST00000421241.7	C1orf159
ENSG00000131591	chr1	1084481	1084506	26	-	ENST00000421241.7	C1orf159
ENSG00000131591	chr1	1084481	1084506	26	-	ENST00000421241.7	C1orf159
ENSG00000132361	chr17	2704362	2704371	10	-	ENST00000575014.5	CLUH
ENSG00000132361	chr17	2704362	2704371	10	-	ENST00000575014.5	CLUH
ENSG00000132361	chr17	2704362	2704371	10	-	ENST00000575014.5	CLUH
ENSG00000136021	chr12	100337387	100337404	18	+	ENST00000549687.5	SCYL2
ENSG00000136021	chr12	100337387	100337404	18	+	ENST00000549687.5	SCYL2
ENSG00000136021	chr12	100337387	100337404	18	+	ENST00000549687.5	SCYL2
ENSG00000136754	chr10	26771075	26771089	15	-	ENST00000359188.8	ABI1
ENSG00000136754	chr10	26771075	26771089	15	-	ENST00000359188.8	ABI1
ENSG00000136754	chr10	26771075	26771089	15	-	ENST00000359188.8	ABI1
ENSG00000138834	chr16	1758148	1758159	12	+	ENST00000356010.9	MAPK8IP3
ENSG00000138834	chr16	1758148	1758159	12	+	ENST00000356010.9	MAPK8IP3
ENSG00000138834	chr16	1758148	1758159	12	+	ENST00000356010.9	MAPK8IP3
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361961.7	KIF21A
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361961.7	KIF21A
ENSG00000139116	chr12	39315229	39315240	12	-	ENST00000361961.7	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361418.10	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361961.7	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361961.7	KIF21A
ENSG00000139116	chr12	39330242	39330262	21	-	ENST00000361961.7	KIF21A
ENSG00000140332	chr15	70064454	70064470	17	-	ENST00000451782.7	TLE3
ENSG00000140332	chr15	70064454	70064470	17	-	ENST00000451782.7	TLE3
ENSG00000140332	chr15	70064454	70064470	17	-	ENST00000451782.7	TLE3
ENSG00000141068	chr17	27585657	27585661	5	+	ENST00000644974.2	KSR1
ENSG00000141068	chr17	27585657	27585661	5	+	ENST00000644974.2	KSR1
ENSG00000141068	chr17	27585657	27585661	5	+	ENST00000644974.2	KSR1
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000445888.6	TP53
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000445888.6	TP53
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000445888.6	TP53
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000619485.4	TP53
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000619485.4	TP53
ENSG00000141510	chr17	7676382	7676403	22	-	ENST00000619485.4	TP53
ENSG00000142156	chr21	45987155	45987175	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	45987155	45987175	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	45987155	45987175	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	45987499	45987519	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	45987499	45987519	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	45987499	45987519	21	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	46000759	46000767	9	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	46000759	46000767	9	+	ENST00000361866.8	COL6A1
ENSG00000142156	chr21	46000759	46000767	9	+	ENST00000361866.8	COL6A1
ENSG00000143207	chr1	176043186	176043203	18	-	ENST00000461830.6	COP1
ENSG00000143207	chr1	176043186	176043203	18	-	ENST00000461830.6	COP1
ENSG00000143207	chr1	176043186	176043203	18	-	ENST00000461830.6	COP1
ENSG00000143207	chr1	176043810	176043818	9	-	ENST00000461830.6	COP1
ENSG00000143207	chr1	176043810	176043818	9	-	ENST00000461830.6	COP1
ENSG00000143207	chr1	176043810	176043818	9	-	ENST00000461830.6	COP1
ENSG00000143248	chr1	163161954	163161976	23	-	ENST00000428971.2	RGS5
ENSG00000143248	chr1	163161954	163161976	23	-	ENST00000428971.2	RGS5
ENSG00000143248	chr1	163161954	163161976	23	-	ENST00000428971.2	RGS5
ENSG00000143947	chr2	55232688	55232708	21	+	ENST00000272317.11	RPS27A
ENSG00000143947	chr2	55232688	55232708	21	+	ENST00000272317.11	RPS27A
