"transcript_id","biotype"
"ENST00000004531","protein_coding"
"ENST00000006724","protein_coding"
"ENST00000165524","protein_coding"
"ENST00000170150","protein_coding"
"ENST00000181796","protein_coding"
"ENST00000187910","protein_coding"
"ENST00000202625","protein_coding"
"ENST00000202917","protein_coding"
"ENST00000209665","protein_coding"
"ENST00000211076","protein_coding"
"ENST00000211122","protein_coding"
"ENST00000216139","protein_coding"
"ENST00000216336","protein_coding"
"ENST00000217131","protein_coding"
"ENST00000217428","protein_coding"
"ENST00000218032","protein_coding"
"ENST00000218099","protein_coding"
"ENST00000219162","protein_coding"
"ENST00000219919","protein_coding"
"ENST00000220562","protein_coding"
"ENST00000220849","protein_coding"
"ENST00000220940","protein_coding"
"ENST00000221222","protein_coding"
"ENST00000221515","protein_coding"
"ENST00000221700","protein_coding"
"ENST00000221797","protein_coding"
"ENST00000223361","protein_coding"
"ENST00000225844","protein_coding"
"ENST00000226355","protein_coding"
"ENST00000226460","protein_coding"
"ENST00000226730","protein_coding"
"ENST00000228476","protein_coding"
"ENST00000229135","protein_coding"
"ENST00000229335","protein_coding"
"ENST00000230323","protein_coding"
"ENST00000231188","protein_coding"
"ENST00000231228","protein_coding"
"ENST00000233892","protein_coding"
"ENST00000234701","protein_coding"
"ENST00000236826","protein_coding"
"ENST00000236979","protein_coding"
"ENST00000237201","protein_coding"
"ENST00000237275","protein_coding"
"ENST00000240691","protein_coding"
"ENST00000240727","protein_coding"
"ENST00000241808","protein_coding"
"ENST00000242872","protein_coding"
"ENST00000243219","protein_coding"
"ENST00000243611","protein_coding"
"ENST00000244096","protein_coding"
"ENST00000244293","protein_coding"
"ENST00000244645","protein_coding"
"ENST00000245983","protein_coding"
"ENST00000246012","protein_coding"
"ENST00000246020","protein_coding"
"ENST00000246105","protein_coding"
"ENST00000246515","protein_coding"
"ENST00000248072","protein_coding"
"ENST00000248384","protein_coding"
"ENST00000249284","protein_coding"
"ENST00000249504","protein_coding"
"ENST00000250378","protein_coding"
"ENST00000250572","protein_coding"
"ENST00000251372","protein_coding"
"ENST00000252172","protein_coding"
"ENST00000252244","protein_coding"
"ENST00000252250","protein_coding"
"ENST00000252252","protein_coding"
"ENST00000252971","protein_coding"
"ENST00000253362","protein_coding"
"ENST00000253381","protein_coding"
"ENST00000253673","protein_coding"
"ENST00000254181","protein_coding"
"ENST00000254850","protein_coding"
"ENST00000255324","protein_coding"
"ENST00000255486","protein_coding"
"ENST00000255746","protein_coding"
"ENST00000256412","protein_coding"
"ENST00000257555","protein_coding"
"ENST00000257570","protein_coding"
"ENST00000257627","protein_coding"
"ENST00000257818","protein_coding"
"ENST00000258646","protein_coding"
"ENST00000258960","protein_coding"
"ENST00000258969","protein_coding"
"ENST00000259206","protein_coding"
"ENST00000259211","protein_coding"
"ENST00000259213","protein_coding"
"ENST00000259782","protein_coding"
"ENST00000260229","protein_coding"
"ENST00000260302","protein_coding"
"ENST00000260364","protein_coding"
"ENST00000260376","protein_coding"
"ENST00000260600","protein_coding"
"ENST00000260970","protein_coding"
"ENST00000261195","protein_coding"
"ENST00000261196","protein_coding"
"ENST00000261201","protein_coding"
"ENST00000261693","protein_coding"
"ENST00000262186","protein_coding"
"ENST00000262219","protein_coding"
"ENST00000262262","protein_coding"
"ENST00000262836","protein_coding"
"ENST00000262970","protein_coding"
"ENST00000263083","protein_coding"
"ENST00000263285","protein_coding"
"ENST00000263437","protein_coding"
"ENST00000263604","protein_coding"
"ENST00000263800","protein_coding"
"ENST00000263934","protein_coding"
"ENST00000264260","protein_coding"
"ENST00000264382","protein_coding"
"ENST00000265029","protein_coding"
"ENST00000265403","protein_coding"
"ENST00000265425","protein_coding"
"ENST00000265707","protein_coding"
"ENST00000265708","protein_coding"
"ENST00000265808","protein_coding"
"ENST00000265970","protein_coding"
"ENST00000266594","protein_coding"
"ENST00000267082","protein_coding"
"ENST00000268912","protein_coding"
"ENST00000268919","protein_coding"
"ENST00000268981","protein_coding"
"ENST00000269489","protein_coding"
"ENST00000269878","protein_coding"
"ENST00000269945","protein_coding"
"ENST00000270172","protein_coding"
"ENST00000271450","protein_coding"
"ENST00000271971","protein_coding"
"ENST00000272746","protein_coding"
"ENST00000273173","protein_coding"
"ENST00000273283","protein_coding"
"ENST00000273353","protein_coding"
"ENST00000273695","protein_coding"
"ENST00000274520","protein_coding"
"ENST00000275191","protein_coding"
"ENST00000275198","protein_coding"
"ENST00000275200","protein_coding"
"ENST00000275216","protein_coding"
"ENST00000275838","protein_coding"
"ENST00000276052","protein_coding"
"ENST00000276127","protein_coding"
"ENST00000277216","protein_coding"
"ENST00000278655","protein_coding"
"ENST00000278888","protein_coding"
"ENST00000279178","protein_coding"
"ENST00000279227","protein_coding"
"ENST00000279545","protein_coding"
"ENST00000279575","protein_coding"
"ENST00000279783","protein_coding"
"ENST00000280082","protein_coding"
"ENST00000280904","protein_coding"
"ENST00000281428","protein_coding"
"ENST00000281589","protein_coding"
"ENST00000281703","protein_coding"
"ENST00000281923","protein_coding"
"ENST00000282260","protein_coding"
"ENST00000282326","protein_coding"
"ENST00000283550","protein_coding"
"ENST00000283936","protein_coding"
"ENST00000284629","protein_coding"
