isoform_id	gene_name
ENST00000699311	JAK1
ENST00000307959	ARR3
ENST00000266395	PDE6H
ENST00000265643	GAL
ENST00000251102	CNGB1
ENST00000264258	RPL31
ENST00000400017	RPGRIP1
ENST00000216392	PYGL
ENST00000379984	RS1
ENST00000615840	FLT1
ENST00000220676	RP1
ENST00000221485	SLC17A7
ENST00000335765	UNC119
ENST00000395321	ALDOC
ENST00000229264	GNB3
ENST00000614066	TULP1
ENST00000230381	PRPH2
ENST00000372067	VEGFA
ENST00000378823	RAD50
ENST00000652107	MSH6
ENST00000391997	PDC
ENST00000237853	ELL2
ENST00000470973	GLO1
ENST00000250087	AIPL1
ENST00000392492	AANAT
ENST00000252486	APOE
ENST00000628768	STXBP1
ENST00000266674	LGR5
ENST00000623527	CDHR1
ENST00000396184	PDE1C
ENST00000345330	NPTN
ENST00000290341	IGF2BP1
ENST00000579085	EIF4A1
ENST00000371494	SLC1A7
ENST00000380715	PSIP1
ENST00000610966	SVOP
ENST00000633708	STX3
ENST00000304218	H1-4
ENST00000578921	RAB31
ENST00000333511	BSG
ENST00000436393	RIMS2
ENST00000323274	TYMS
ENST00000394232	SV2B
ENST00000555848	EVL
ENST00000606017	CD24
ENST00000703266	GUCA1ANB-GUCA1A
ENST00000555978	RAX2
ENST00000359028	AKAP9
ENST00000250111	ATP1B2
ENST00000333461	STAC2
