gene_id	gene_name
ENSG00000120500	ARR3
ENSG00000139445	FOXN4
ENSG00000165521	EML5
ENSG00000168843	FSTL5
ENSG00000283782	NA
ENSG00000290147	GUCA1ANB-GUCA1A
ENSG00000139053	PDE6H
ENSG00000164318	EGFLAM
ENSG00000008086	CDKL5
ENSG00000047617	ANO2
ENSG00000082126	MPP4
ENSG00000092200	RPGRIP1
ENSG00000100504	PYGL
ENSG00000102104	RS1
ENSG00000102755	FLT1
ENSG00000104888	SLC17A7
ENSG00000107099	DOCK8
ENSG00000111664	GNB3
ENSG00000112041	TULP1
ENSG00000112619	PRPH2
ENSG00000116703	PDC
ENSG00000118985	ELL2
ENSG00000124507	PACSIN1
ENSG00000137766	UNC13C
ENSG00000159217	IGF2BP1
ENSG00000164398	ACSL6
ENSG00000173976	RAX2
ENSG00000187416	LHFPL3
ENSG00000198570	RD3
ENSG00000272398	CD24
ENSG00000278677	H2AC17
ENSG00000105392	CRX
ENSG00000138798	EGF
ENSG00000148600	CDHR1
ENSG00000179774	ATOH7
ENSG00000182667	NTM
ENSG00000189221	MAOA
ENSG00000069482	GAL
ENSG00000170289	CNGB3
ENSG00000185518	SV2B
ENSG00000082438	COBLL1
ENSG00000104237	RP1
ENSG00000117154	IGSF21
ENSG00000177182	CLVS1
ENSG00000176170	SPHK1
ENSG00000021645	NRXN3
ENSG00000035499	DEPDC1B
ENSG00000070601	FRMPD1
ENSG00000070729	CNGB1
ENSG00000106348	IMPDH1
